Term,CRN,Subject,Course Number,Sequence,Title,Credit Hours,Schedule Code,Status,Maximum Enrollment,Actual Enrollment,Seats Available,CrossList Group,CrossList Courses,CrossList Max Enrollment,CrossList Actual Enrollment,Crosslist Seats Available,Primary Instructor Last Name,Primary Instructor First Name,Primary Instructor Username,Instructor2 Last Name,Instructor2 First Name,Instructor2 Username,Instructor3 Last Name,Instructor3 First Name,Instructor3 Username,Begin Time1,End Time1,Building Code1,Room1,Monday1,Tuesday1,Wednesday1,Thursday1,Friday1,Saturday1,Sunday1,Begin Time2,End Time2,Building Code2,Room2,Monday2,Tuesday2,Wednesday2,Thursday2,Friday2,Saturday2,Sunday2,Begin Time3,End Time3,Building Code3,Room3,Monday3,Tuesday3,Wednesday3,Thursday3,Friday3,Saturday3,Sunday3,CIP Code,CIP Description,All Perspectives,Practical Reasoning,Arts Perspective,Social Science Perspective,Western History Perspective,Religion Perspective,Afr Amer Appl Wmn Perspective,International Perspective,Course Fee,Prerequisites
201713,30164,SOC,395,C,Higher Ed Stu Life & Engagmnt,1,F,A,1,1,0,,,,,,Woodward,Andrea,woodwarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451101,Sociology,(Active Learning Experience),,,,,,,,,
201713,30165,SOC,395,D,Interactions w/ Border Angels,1,F,A,1,1,0,,,,,,Burnside,Jackie,burnsidej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451101,Sociology,(Active Learning Experience),,,,,,,,,
201713,30166,SOC,395,E,School Family Resource Intern,1,F,A,1,1,0,,,,,,Woodward,Andrea,woodwarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451101,Sociology,(Active Learning Experience),,,,,,,,,
201713,30167,THR,395,A,Theatre Mgt. Prod. Internship,1,F,A,1,1,0,,,,,,Martin,Deborah,martinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360117,Theater,(Active Learning Experience),,,,,,,,,
201713,30014,SPN,101,A,Introduction to Spanish I,1,C,A,20,16,4,,,,,,Marte,Ivonne,martei,,,,,,,1100,1240,D,309,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,160905,Spanish Language/Literature,,,,,,,,,,Spanish 101 Test Score=RD
201713,30015,SPN,102,A,Introduction to Spanish II,1,C,A,20,14,6,,,,,,Marte,Ivonne,martei,,,,,,,1500,1640,D,309,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,160905,Spanish Language/Literature,,,,,,,,,,Spanish 101 Test Score=TR or Spanish 101 Test Score=WD or SPN 101=C
201713,30039,TAD,100S,A,Photographing Appalachia,1,L,A,8,10,-2,,,,,,Mills,Alan,millsa,,,,,,,900,1130,DT,B10,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,210101,Technology Ed/Industrial Arts,"(AfrAmer, Appl, Wmn Perspective; Arts Perspective)",,Yes,,,,Yes,,500,
201713,30171,THR,495,B,Hip Hop Internship,1,F,A,1,1,0,,,,,,Barton,Adanma,bartonad,Martin,Deborah,martinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500501,"Drama/Theater Arts, General",(Active Learning Experience),,,,,,,,,
201713,30172,AFR,495,A,AFR Internship,1,F,A,1,1,0,,,,,,Turley,Alicestyne,turleya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50201,Afro-American (Black) Studies,(Active Learning Experience),,,,,,,,,
201713,30173,ANR,495,E,ANR Internship,1,F,A,1,2,-1,,,,,,Parr,Mary,parrm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,"Agriculture, General",(Active Learning Experience),,,,,,,,,
